time,value,cpu_temp,disk_space
2026-06-01T00:00:00,42.1,65.0,45.2
2026-06-01T01:00:00,43.0,66.2,44.8
2026-06-01T02:00:00,41.8,64.5,44.1
2026-06-01T03:00:00,44.2,67.1,43.5
2026-06-01T04:00:00,45.0,68.0,42.9
2026-06-01T05:00:00,46.1,69.5,42.0
2026-06-01T06:00:00,47.3,71.2,41.2
2026-06-01T07:00:00,48.0,72.8,40.5
2026-06-01T08:00:00,49.2,74.1,39.8
2026-06-01T09:00:00,50.1,75.5,38.9
2026-06-01T10:00:00,51.0,76.2,38.1
2026-06-01T11:00:00,52.3,78.0,37.4
2026-06-01T12:00:00,53.1,79.5,36.8
2026-06-01T13:00:00,54.0,81.2,36.0
2026-06-01T14:00:00,55.2,82.5,35.2
2026-06-01T15:00:00,56.0,83.8,34.5
2026-06-01T16:00:00,57.1,85.0,33.8
2026-06-01T17:00:00,58.0,86.2,33.0
2026-06-01T18:00:00,59.2,87.5,32.2
2026-06-01T19:00:00,60.0,88.1,31.5
2026-06-01T20:00:00,61.1,89.0,30.8
2026-06-01T21:00:00,62.0,90.2,30.0
2026-06-01T22:00:00,63.2,91.5,29.2
2026-06-01T23:00:00,64.0,92.8,28.5
